Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
Bombeira do Guadiana,2014,2146887,Herdade da Bombeira Tinto 2014,3.8,243,8.9,Portugal,Alentejano
Pinalta,2018,2801372,Mil e Uma Noites 2018,0.0,1,68.0,Portugal,Douro
Companhia das Lezírias,2015,2619814,Tyto Alba Merlot 2015,4.0,102,9.95,Portugal,Tejo
Herdade do Sobroso,2021,1925611,Cellar Selection Tinto 2021,4.3,43,20.0,Portugal,Alentejo
Cabriz,1985,1148718,Dão Reserva 1985,0.0,0,15.0,Portugal,Dão
Jorge Rosas,2015,1306913,Puro Quinta da Touriga Douro 2015,4.1,638,21.2,Portugal,Douro
Quinta de Arcossó,2017,1678536,Tinto 2017,3.9,66,13.5,Portugal,Trás-os-Montes
Ponte de Lima,2022,1406183,Vinhão 2022,0.0,2,4.95,Portugal,Vinho Verde
Borges,2020,2400219,Meia Encosta Reserva 2020,0.0,0,4.07,Portugal,Dão
Herdade da Comporta,2020,2439194,Vinhas da Comporta Tinto 2020,0.0,0,8.19,Portugal,Península de Setúbal
Oboé,2016,1207363,Superior Tinto 2016,4.0,147,12.29,Portugal,Douro
Vallegre,1963,2366362,Douro Colheita 1963,0.0,0,134.15,Portugal,Douro
Quinta de Chocapalha,2020,1975558,Reserva Tinto 2020,0.0,0,9.19,Portugal,Lisboa
Quinta de Cidrô,2008,4564806,Marquis 2008,0.0,13,48.88,Portugal,Douro
Quinta da Romaneira,1970,5027756,R de Romaneira 1970,0.0,6,110.25,Portugal,Douro
C. da Silva,2018,1300263,Dalva Colheita Tinto 2018,0.0,19,6.29,Portugal,Douro
Quinta da Boavista,2018,4443335,Quinta da Boavista Vinha do Ujo Vinhas Velhas 2018,0.0,2,114.49,Portugal,Douro
Quinta dos Aciprestes,2018,1248232,Reserva Tinto 2018,4.2,362,17.4,Portugal,Douro
Monte Da Lua,2020,4563286,Reserva 2020,0.0,2,6.99,Portugal,Alentejano
Teoria,2019,5672217,Reserva Tinto 2019,3.8,134,4.8,Portugal,Douro
Dona Matilde,2017,2592968,Douro Red Blend 2017,3.8,281,7.9,Portugal,Douro
Calheiros Cruz,2018,1197236,Colheita Tinto 2018,0.0,11,4.95,Portugal,Douro
Quinta dos Poços,2017,1543606,Tinto 2017,3.8,32,6.1,Portugal,Douro
São Domingos,2014,79177,Lopo de Freitas Tinto 2014,0.0,2,22.5,Portugal,Bairrada
Monte Branco,2018,1183111,Alento Reserva Tinto 2018,4.1,82,14.99,Portugal,Alentejo
Brejinho da Costa,2012,4718654,Reserva Tinto 2012,3.9,99,12.4,Portugal,Península de Setúbal
Quinta da Roga,2018,1950217,Poente Tinto 2018,3.8,42,12.5,Portugal,Douro
Ribeiro Santo,2016,6300300,Envelope 2016,4.2,55,59.33,Portugal,Dão
Esmero,2002,1149939,Tinto 2002,4.5,30,49.9,Portugal,Douro
Quinta da Lapa,2018,1690572,Reserva Touriga Nacional 2018,4.1,43,9.6,Portugal,Tejo
Quinta S. João Batista,2016,1478643,Reserva Cabernet Sauvignon - Touriga Nacional 2016,3.7,132,13.39,Portugal,Ribatejo
Herdade de Gâmbia,2018,6058139,Reserva Tinto 2018,0.0,21,8.4,Portugal,Península de Setúbal
Quinta do Isaac,2015,3117591,Tinto 2015,4.5,83,42.95,Portugal,Douro
Quinta da Lapa,2018,1492680,Syrah 2018,0.0,2,9.6,Portugal,Tejo
Beyra,2019,8474121,Tinta Roriz Vinha da Santa Maria 2019,0.0,23,25.89,Portugal,Beira Interior
Quinta dos Poços,2015,1553370,Grande Reserva 2015,4.1,174,14.99,Portugal,Douro
Donnaires,2010,1834185,Reserva 2010,3.7,33,16.98,Portugal,Dão
Vale da Corça,2014,5950071,Joao & Maria Grande Reserva 2014,4.0,102,35.2,Portugal,Douro
Fonte do Ouro,2017,4920937,Grande Reserva 2017,4.5,44,46.7,Portugal,Dão
Ribafreixo Wines,2013,1664255,Gaudio Classico Reserva 2013,3.7,88,21.1,Portugal,Alentejano
Fonte do Ouro,2018,5388219,Reserva Especial Touriga Nacional 2018,0.0,6,22.9,Portugal,Dão
Infinitude,2018,5964768,Merlot 2018,0.0,6,22.5,Portugal,Lisboa
Adega Cooperativa de Vidigueira,2021,5167216,Ato IV A Inspiração Syrah 2021,3.8,70,7.29,Portugal,Alentejo
Quinta da Boa Esperança,2017,6443153,Touriga Nacional 2017,4.0,57,16.9,Portugal,Lisboa
Gerações de Xisto,2018,6279072,Tinto 2018,3.8,100,8.45,Portugal,Douro
Casa de Saima,2020,1211496,Colheita Tinto 2020,0.0,2,6.69,Portugal,Bairrada
Adega do Sôr,2019,9516345,Reserva Tinto 2019,0.0,11,14.65,Portugal,Alentejano
Quinta do Carneiro,2021,1434958,Tinto 2021,0.0,0,6.9,Portugal,Alenquer
Quinta dos Termos,2020,1264335,Reserva Vinhas Velhas 2020,4.3,33,10.9,Portugal,Beira Interior
Alto da Capela,2021,6291682,Tinto 2021,0.0,3,5.45,Portugal,Alentejano
Churchill's,2005,1467162,Quinta da Gricha Vinhas Velhas 2005,4.1,47,64.95,Portugal,Douro
Quinta Vale d'Aldeia,2018,4107501,Tinto 2018,3.9,133,8.45,Portugal,Douro
Folha do Meio,2019,4221932,Grande Reserva 2019,0.0,1,31.2,Portugal,Alentejano
Folha do Meio,2020,1293373,Reserva Tinto 2020,0.0,14,13.1,Portugal,Alentejano
Brites Aguiar,2020,1368791,Bafarela 17 Tinto 2020,0.0,1,37.5,Portugal,Douro
Folha do Meio,2019,1293373,Reserva Tinto 2019,4.2,85,29.95,Portugal,Alentejano
Quinta das Camelias,2019,4919894,Cabeço do Mocho Grande Escolha 2019,4.2,41,6.5,Portugal,Dão
Soito,2015,4039899,Tinto 2015,3.9,508,9.0,Portugal,Dão
Burmester,2016,5216001,Casa Burmester Touriga Nacional 2016,4.2,230,25.0,Portugal,Douro
Herdade Aldeia de Cima,2019,7775159,Alyantiju Tinto 2019,0.0,8,58.0,Portugal,Vidigueira
Niepoort,2014,3336276,Douro Ultreia 2014,0.0,13,25.5,Portugal,Douro
Quinta dos Frades,2017,6913897,Dona Sylvia Grande Reserva 2017,0.0,7,47.5,Portugal,Douro
Valle de Passos,2015,6911054,Grande Reserva 2015,4.4,41,39.0,Portugal,Trás-os-Montes
Monte Branco,2015,1163791,Alento Tinto 2015,3.7,391,35.0,Portugal,Alentejo
Quinta Grande,2013,2592960,Reserva 2013,0.0,1,28.5,Portugal,Ribatejo
Cadão,2011,6334089,Vinhas Velhas 2011,4.1,213,25.0,Portugal,Douro
Antonio Bernardino Paulo da Silva,1996,1245309,Colares Chitas Tinto 1996,4.1,112,59.0,Portugal,Colares
Zom,2008,6168856,Garrafeira 2008,4.5,34,43.0,Portugal,Douro
Quinta do Cardo,2019,2599807,Touriga Nacional Reserva 2019,0.0,1,17.0,Portugal,Beira Interior
